ID,unique,solo,placement,backlash,style
the competition begins,1,0,0,0,0
wildly inappropriate,2,1,1,0,1
cheerleader blues,3,0,0,0,0
stealing the show,4,1,1,5,1
stealing the show,4,1,3,5,2
when stars collide,5,0,0,0,0
dying to dance,6,1,1,1,1
she's a fighter,7,1,1,0,1
love on the dance floor,8,1,1,0,1
from ballerinas to showgirls,9,0,0,0,0
cathy brings it on!,10,1,2,0,3
it all ends here,11,1,1,3,1
everyone's replacable,12,1,1,0,4
return of the candy appeles,13,0,0,0,0
brooke's turning point,14,1,3,0,5
no one likes a bully,15,1,1,0,1
brooke's back,16,0,0,0,0
jill on the rampage,17,1,3,0,5
bullets and ballet,18,1,1,0,1
topless showgirls,19,1,1,0,1
miami heat wave,20,1,1,1,1
melissa pleads the fifth,21,1,1,1,1
waiting for joffrey,22,1,1,1,2
abbygeddon,23,1,0,1,1
night of the living dancers,24,1,2,0,1
i know what you did last competition,25,1,4,0,3
maddie has a secret,26,1,1,4,1
maddie has a secret,26,1,1,4,1
worst birthday party ever,27,1,1,0,1
how do you like them apples?,28,0,0,0,0
guess who's back?,29,1,1,0,1
break a leg,30,1,1,0,3
revenge of the candy apples,31,0,0,0,0
the recital to end all recitals,32,0,0,0,0
new girl in town,33,0,0,0,0
solo fever,34,1,1,0,1
nationals 90210,35,1,2,1,1
the beginning of the end,36,1,1,0,1
"out with the old, in with the new",37,0,0,0,0
but i'm a national champion!,38,0,0,0,0
liar liar dance mom on fire!,39,0,0,0,0
revenge of the replacements,40,0,0,0,0
"boys are cuties, girls have cooties",41,0,0,0,0
rotten to the core,42,1,1,2,1
you've been unfriended,43,1,1,0,3
bye bye baby,44,1,1,3,1
all's fair in love and war,45,1,2,1,0
camoflauged maneuvers,46,1,2,0,3
the apple of her eye,47,1,1,0,1
she's a maniac,48,0,0,0,0
"watch your back, mac",49,0,0,0,0
the politics of dancing,50,1,1,0,1
may i have this dance?,51,1,1,1,1
the view from the top,52,0,0,0,0
candy apple showdown,53,1,1,1,1
"boy crazy, mom crazy",54,0,0,0,0
"two girls, one solo",55,1,1,3,1
an apple a day keeps abby away,56,0,0,0,0
no room for rotten apples,57,0,0,0,0
tap versus hiphop,58,1,2,3,2
recital rebellion,59,1,0,0,3
clash of the dance moms,60,0,0,0,0
the dancing dead,61,0,0,0,0
"gone, abby gone",62,1,1,0,1
"on again, off again abby",63,0,0,0,0
diva las vegas,64,0,0,0,0
do-si-do and do-si-don't,65,0,0,0,0
"the big, not so, easy",66,1,1,1,1
,,42,55,42,